Used,Collected,Experiment Name,Seed ID,Seed Name,Cross Type,Pedigree,Stock Status,Stock Date,Inoculated,Stock Comments,Genus,Species,Population,Row ID,Field Name,Plant ID,Username,Collection Date,Method,Collection Comments,Organization,First Name,Last Name,Phone,Email,Source Comments
,1,16NTS,16NTS_stock_collected_row_01,16NTS_stock_collected_row_01,self,16NTS_stock_collected_row_01,Available,08/29/16,1,,Zea,Mays,16NTS_stock_collected,16NTS_row_001,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_02,16NTS_stock_collected_row_02,self,16NTS_stock_collected_row_02,Available,08/29/16,1,,Zea,Mays,16NTS_stock_collected,16NTS_row_002,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_03,16NTS_stock_collected_row_03,self,16NTS_stock_collected_row_03,Available,08/29/16,1,,Zea,Mays,16NTS_stock_collected,16NTS_row_003,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_04,16NTS_stock_collected_row_04,self,16NTS_stock_collected_row_04,Available,08/29/16,1,,Zea,Mays,16NTS_stock_collected,16NTS_row_004,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_05,16NTS_stock_collected_row_05,self,16NTS_stock_collected_row_05,Available,08/29/16,1,,Zea,Mays,16NTS_stock_collected,16NTS_row_005,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_06,16NTS_stock_collected_row_06,self,16NTS_stock_collected_row_06,Available,08/29/16,1,,Zea,Mays,16NTS_stock_collected,16NTS_row_006,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_07,16NTS_stock_collected_row_07,self,16NTS_stock_collected_row_07,Available,08/29/16,1,,Zea,Mays,16NTS_stock_collected,16NTS_row_007,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_08,16NTS_stock_collected_row_08,self,16NTS_stock_collected_row_08,Available,08/29/16,1,,Zea,Mays,16NTS_stock_collected,16NTS_row_008,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_09,16NTS_stock_collected_row_09,self,16NTS_stock_collected_row_09,Available,08/29/16,1,,Zea,Mays,16NTS_stock_collected,16NTS_row_009,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_10,16NTS_stock_collected_row_10,self,16NTS_stock_collected_row_10,Available,08/29/16,1,,Zea,Mays,16NTS_stock_collected,16NTS_row_010,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_11,16NTS_stock_collected_row_11,self,16NTS_stock_collected_row_11,Available,08/29/16,0,,Zea,Mays,16NTS_stock_collected,16NTS_row_011,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_12,16NTS_stock_collected_row_12,self,16NTS_stock_collected_row_12,Available,08/29/16,0,,Zea,Mays,16NTS_stock_collected,16NTS_row_012,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_13,16NTS_stock_collected_row_13,self,16NTS_stock_collected_row_13,Available,08/29/16,0,,Zea,Mays,16NTS_stock_collected,16NTS_row_013,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_14,16NTS_stock_collected_row_14,self,16NTS_stock_collected_row_14,Available,08/29/16,0,,Zea,Mays,16NTS_stock_collected,16NTS_row_014,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_15,16NTS_stock_collected_row_15,self,16NTS_stock_collected_row_15,Available,08/29/16,0,,Zea,Mays,16NTS_stock_collected,16NTS_row_015,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_16,16NTS_stock_collected_row_16,self,16NTS_stock_collected_row_16,Available,08/29/16,0,,Zea,Mays,16NTS_stock_collected,16NTS_row_016,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_17,16NTS_stock_collected_row_17,self,16NTS_stock_collected_row_17,Available,08/29/16,0,,Zea,Mays,16NTS_stock_collected,16NTS_row_017,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_18,16NTS_stock_collected_row_18,self,16NTS_stock_collected_row_18,Available,08/29/16,0,,Zea,Mays,16NTS_stock_collected,16NTS_row_018,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_19,16NTS_stock_collected_row_19,self,16NTS_stock_collected_row_19,Available,08/29/16,0,,Zea,Mays,16NTS_stock_collected,16NTS_row_019,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
,1,16NTS,16NTS_stock_collected_row_20,16NTS_stock_collected_row_20,self,16NTS_stock_collected_row_20,Available,08/29/16,0,,Zea,Mays,16NTS_stock_collected,16NTS_row_020,Aurora NY,,nick_morales,08/28/16,Manual,,,,,,,
